title,company,rating,location,salary,summary,description,postcode,city,annual,monthly,weekly,daily,hourly,type,min_salary,max_salary,avg_salary
business development associate,TalentPool,,London SE1 1EP,32000,Recent graduate with up to 18 months of experience who is either looking to start or grow in their business development career.,"Role DescriptionWe are looking for a Business Development Associate to join us our leading global online staffing platform that enables companies to engage and manage the extended workforce.This role is ideal for a recent graduate with up to 18 months of experience who is either looking to start or grow in their business development careerThe Sales team is responsible for evangelising our company as a solution to the wider market. The first step in the customer journey aims to position us as the go-to talent marketplace partner in the business talent category. The Business Development Associate role identifies and generates sales opportunities through both outbound and inbound activities.For the role you need to be resilient and determined to find a way to succeed while adhering to company processes and standards. You will also understand how to assess a prospective customer’s needs, cater the outreach to each prospect specifically and field common queries.Your pace of progression within the company will be determined solely by you - your ambitions and your own success. We have a highly lucrative reward culture, offering commission for meeting and exceeding targets as well as a competitive basic salary.ResponsibilitiesGenerating meetings for the senior business development team through identifying prospects who fit our ideal buyer persona within Target Accounts and then promoting our proposition through extensive and persistent cold calling, emails and communication(s) to prospective clientsProviding in-depth information to the Sales team to enable the qualified and productive meetingsResearching and evaluating additional leads/prospects through desk researchHelp as needed to build awareness on special customer acquisition projectsMaintaining a high level of attention to detail by ensuring all your data are always correct and up to date using software including Salesforce and SalesloftWhat you should have:Recent graduate with up to 18 months of experience who is either looking to start or grow in their business development careerDegree educated, ideally with a 2:1 or equivalentProven success in a sales or customer facing role ideally from a marketplace, staffing/recruiting, consulting, or HR technology platform companyTrack record of achieving and exceeding goals and KPIsExceptional communications skills including an excellent command of the English language (both verbal and written). Additional language skills are a bonusStrong attention to detailHighly developed complex problem-solving ability with the ability to adapt to the situationResilience, ambition and drive with a will to win and successWhy work for us?Competitive salary - £25K base. On target earnings (OTE) of £32,200.Join a company with a proven business model that has already established clear industry recognition as a leading global marketplace for Business TalentAccelerate your personal and professional development by working with and learning from a vibrant, ambitious, and motivated team all on a mission to make a real impactProgress in your role based on your success, results, and impact. Making a difference is more important than days served.Access and use best-in-class software and enablement tools to do your day-to-day roleWork from a great central London office and join regular social events with your colleagues (note that all roles at our company offer a combination of working from home and office)Access discounts and perks on well-known services and products through PerkboxWork in a company that was voted as the Best Staffing Firm to work in for UK & Ireland by Staffing Industry Analysts in 2020Interview Process: In response to Covid-19, interviews in London will be conducted over zoom with potential for final round interview to be completed at our offices close to London Bridge.Location: Central London (with opportunity to combine working from home and office.)We are committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, or age.A job from TalentPool, powered by Cilla - the talent matching engine",SE1 1EP,London ,1,0,0,0,0,10000,32000,32000,32000
 technical consultant,Computacenter,3.4,Hatfield AL10 9TW,0,"Enthusiastic and innovative graduates with a degree in Computer Science, Software Engineering or a similar discipline that includes Web Development.","Graduate Technical ConsultantLocation: UK - Hatfield, UK - London, UK - Manchester, UK - Nottingham | Job-ID: 63241 | Contract type: Standard | Business Unit: OthersJob IntroductionWe have an exciting opportunity for a graduate to join our ServiceNow Centre of Excellence as a Technical Consultant. We are a ServiceNow Elite Partner and work closely with our customers to transform their business processes across IT, HR, Customer Service & Automation. The ServiceNow marketplace continues to see tremendous growth and provides an incredible opportunity for talented graduates with a passion for web software development to gain further qualification. This 9 month fast-track development programme, centred in the UK but working across our Group, is designed to accelerate the most talented individuals into the world of IT Technical consultancy. This unique journey could be the start of the rest of your career.What will I gain from the Programme?Over the 9 months we will provide you with the essential skills and business acumen to help you tobecome a world-class IT Consultant and Software innovator professional and build your successful career, including:Bring your web development skills to design and implement business portals that allow employees to be more productiveInternational business experienceOpportunities to network directly with our Sales, Projects and Senior Management teamsUnrivalled training and certifications to begin your career in our ServiceNow Centre of ExcellenceWorking alongside experienced Technical Consultants to create streamlined business workflows for medium to large enterprisesExposure to a global corporate environmentDeveloping and strengthening your strategic thinking skillsAssigned mentors to ensure your personal and professional developmentWorking with our close-knit and supportive team with great harmony and collaborative spiritRoom for personal growth and support for career progressionTraining ProvidedJoin an industry-leading training programme to immerse you in the ServiceNow ecosystem, building on your understanding of web systems development to create engaging experiences for our customers.During your time with us we ensure your personal development. You will gain industry recognised certifications; ServiceNow Certified System Administrator, ServiceNow Certified Application Developer and Certified Implementation Specialist – IT Service Management.An initial 2-month intensive training period, including:Induction training with an overview of our diverse business and customersServiceNow Fundamentals, Platform Implementation and ScriptingITIL processes for IT Service Management, Agile DevelopmentDeveloping your own application in ServiceNowFollowed by a programme for months 3-6 to include:Secondments with Pre-Sales, Service Desk and our Lead ConsultantsMentored involvement in first Professional Services projectAnd then growing on to involvement with our medium, large and multi-national customers.What Are We Looking For?Enthusiastic and innovative graduates with a degree in Computer Science, Software Engineering or a similar discipline that includes Web Development. Plus, you’ll also haveDemonstrable experience developing front-end and back-end web systems, with JavaScript, HTML, CSS, plus React, AngularJS and SQL DBs are also desirableBe confident to put your own ideas into any task and be a self-starterYou’re a team player who cares about best practice and the quality of what you implementDisplays a strong work ethic in a dynamic customer facing environment.Has the ability and drive to work with new technologies and gaining good understanding of the customer’s aimsCurrent information for our applicantsBusiness as usual? Not quite. Of course, the Corona crisis also presents us with major challenges.However, we are broadly positioned across various industries, plan for the long term and have always been flexible in our approach to our customers, especially in times of crisis. Our core business is digitisation. We believe that this topic will continue to grow in importance for many companies in both public and private sectors.That's why there are still areas of our business with clear hiring requirements – and we would like to bring talent like you on board! By the way, we have completely virtualised our application process and our recruiters remain available to you should you have any questions.We are still looking forward to getting to know you!About usComputacenter is a leading independent provider of IT infrastructure services. We work at the heart of digitisation, advising organisations on IT strategy, implementing the most appropriate technology and managing our customers’ infrastructures.We offer a friendly, open working environment without too much fuss about hierarchy. We are looking for professionals with diverse competencies, personalities and strengths who want to live our shared value of teamwork and performance.Interested in joining a company with a strong sense of community?We’re growing. We’re hiring. We encourage. We empower. We support.#CCfuturetalent",AL10 9TW,Hatfield ,0,0,0,0,0,0,0,0,0
 customer support,Give A Grad A Go,5,Home Based,25000 - 30000 ,"A competitive graduate starting salary of between £25,000 - £28,000, DOE.If you're a technically savvy graduate with previous client or customer services…","Acting as first point of contact for customers of all sizesA technology-based degree or similar experience within a IT focused environmentThe chance to iterate with experienced professionals in this spaceLooking for remote based, Junior Customer Service, and want to make join an exciting charity technology start-up? Apply for this Junior Customer Support job today!Company profileIn this Graduate Customer Support role, you will be joining a tech based start-up, focused on delivering Android and Cloud based solutions to charities of all shapes & sizes. Their bespoke yet robust library of products are transforming the way charities process sales, claim gift aid and plan logistics. Combined with exceptional customer service, they are pioneering in using technology to allow charities to run more efficiently. Having secured several exciting new clients on the back of organic growth over recent years, they are keen to grow their team with this IT support based remote job.Job descriptionIn this Junior Customer Support job, you will be liaising directly and honestly with customers, developing a deep understanding of what their customers really want. You will be ensuring that every interaction with the customer goes above and beyond. You will be personable and motivated to get to the bottom of issues, but not afraid to escalate if needs must. You will have strong technical competencies, and a desire to take your development in this space into your own hands.Key responsibilitiesIn this Customer Support job for graduates, your responsibilities will include:Liaising directly with customers to answer any queries & stipulations, constantly providing value to their online journeyCustomer care will be provided over multiple channels – over phone & email, CRM & ZendeskProactively spotting patterns in frustrations or hopes of customers and relaying feedback to the teamHelping the company become more efficient by streamlining processes and introducing new methodologyUnderstanding, prioritising and escalating customers’ feedback and feature requests to the product teamJob requirementsA strong academic background ideally a technical discipline or relevant experience in the IT spaceExperience in using Zendesk in a professional setting is desirableExceptional written and verbal communication skillsExperience in juggling many responsibility and deadlines is a huge plusInterest in working within a start up environment, being a part of a company’s journey and building / being a face of a brandBenefits of the jobA competitive graduate starting salary of between £25,000 - £28,000, DOERemote based working with regular team meetups, once restrictions and guidelines allowThe chance to iterate with experienced professionals in this space, working in a flat structure to build out your skills and expertise!This position is ideal for an independent, self-starter who wants an opportunity to shape and have a meaningful impact at an early-stage start-upLooking to kickstart a career in IT and for IT Support roles remotely? If you're a technically savvy graduate with previous client or customer services experience, apply to this Graduate IT Support role today!Give A Grad a Go is committed to being an equal opportunity employer. All qualified applicants will receive consideration regardless of age, gender, ethnicity, sexual orientation, faith, disability or other. We are continually finding ways to improve the way we work, read our Diversity and Inclusion promise for more information about this.",,Home Based,1,0,0,0,0,10000,25000,30000,27500
 business development executive,Pareto Law,3.5,London,26000 - 36000 ,After your initial training you will be charged with sourcing new and exciting opportunities for the sales team.Competitive salary with excellent OTE.,"Job title: Graduate Business Development ExecutiveLocation: Central LondonSalary: £26,000 basic, £36,000 OTEREF: J003009:LONWorking in one of the most lucrative industries in the world, this is a great place to start any graduate career.Their leading technology solutions have proven invaluable for numerous organisations across the country, leading to an unparalleled reputation as an outstanding and trusted company. The trophy cabinet speaks for itself; lined with awards it highlights not only their success, but also the loyalty of their customers.As a Graduate Business Development Executive you will begin your career with comprehensive bespoke training, providing you with the skills and expertise you need to kick-start a fantastic career! After your initial training you will be charged with sourcing new and exciting opportunities for the sales team. From strategic lead generation to attending client meetings: each day will bring exciting new challenges and experiences.What you get:Competitive salary with excellent OTEFantastic progression opportunitiesFull bespoke trainingMobile PhoneLaptopPensionBonus/incentive SchemeNights out/social eventsTravel expensesResponsibilities:Strategic lead generation into businessesBusiness introductions via phone/email/linkedinShadow meetingsManage new accounts from project start to finishWorking as a team and alongside the Managing Director and Sales DirectorThe ideal candidate will be a passionate and driven individual with excellent communication skills and a hands-on approach to success. This is a brilliant opportunity with scope for quick progression: don’t sideline your potential, apply today!You'll need to be:Educated to degree levelEssential - Excellent verbal and written communication skillsDrive and ambition with the desire to succeedNext Steps:If you require this job specification or to apply in an alternate format please visit the Pareto website.",,London,1,0,0,0,0,10000,26000,36000,31000
trainee geophysicist,Fugro,3.9,Aberdeen,0,"Reporting directly to the Geoscience Supervisor, you will predominately be involved in the acquisition, quality control, interpretation and analysis of marine…","Job DescriptionAn exciting opportunity has arisen for individuals who are newly qualified or have limited experience with geophysical data within the Trainee Geophysicists roles to join Fugro in our Aberdeen office. Reporting directly to the Geoscience Supervisor, you will predominately be involved in the acquisition, quality control, interpretation and analysis of marine geophysical data, geohazard assessment and the integration of geophysical, environmental and geotechnical data for the Marine Site Characterisation (MSC) business line.With a focus on the generation of client deliverables, you will work as part of the Marine Site Characterisation Client Deliverables team providing the opportunity for you to predominately work in our Aberdeen office and with some work offshore onboard survey vessels.As a Trainee Geophysicist you may be eligible for Fugro's global graduate programme. The U.Gro programme will prepare you for a challenging career path in your area of interest. You will grow your personal leadership skills, as well as increase your knowledge about Fugro and gain insight in how a business works. During the programme you will also receive extensive training through customised training, have the support of an experienced personal mentor and this experience will open doors to meeting colleagues from around the world which will ultimately help you fulfil your potential. Through regular reviews and assessments, you will also receive valuable feedback to support your development.This job is for you if:You want to be part of a great team.You are looking for a company who puts safety first.You have a technical background of working with geophysical software.Willingness to work offshore dependent on operational requirement.You are looking for a company who will support your career development.Who you’ll be working with:While onshore you will be working closely with the team of Data Processors, CAD / GIS Specialists and Geoscience Team Leaders to produce high quality survey reports. Offshore you will undertake geophysical survey work, such as data acquisition, quality control, interpretation of side scan sonar, sub-bottom profiler, or magnetometer data with supervision.Here’s what a typical day would be like:Assist in the monitoring of acquired data quality on survey vessels, liaise with and assist Party Chief and other survey staff, maintains survey logs.Assist in the interpretation and integration of a variety of data and preparation of reports in accordance with contractual specifications, Fugro standards and styles and Quality Assurance documentation, under supervision of Geoscience Team Leaders or Senior Geophysicist as appropriate.Assist with the acquisition, logging and testing of seabed samples as required.Use department IT systems to aid interpretation and reporting.Who we’re looking for:EssentialBSC / MSC or equivalent in a Geophysics, Geology or related discipline.Good understanding of survey and data acquisition principles.An excellent communicator (verbally and written) and able to form good working relationships with clients and colleagues at all levels.Ability to prioritise workload to meet project deadlines.Computer literacy including use of standard MS Office package and ability to learn new software.Good attention to detail, quality and safety.Disciplined, self-motivated and a flexible team player.Aberdeen based or willing to relocate to Aberdeen.Flexible and willing to travel offshore.DesirableAn understanding of the geophysical equipment and methods used to investigate the shallow marine environments.Some knowledge of data interpretation, mapping, visualisation and plotting software for example SonarWiz, Kingdom and GIS (ArcMap).Some practical field experience of marine geophysical survey work, such as data acquisition, quality control, interpretation of side scan sonar, sub-bottom profiler, or magnetometer data.What we’ll offer you:Benefits for this role include a competitive salary accompanied by an attractive package.#LI-LS1Disclaimer for recruitment agencies:Fugro does not accept any unsolicited applications from recruitment agencies. Acquisition to Fugro Recruitment or any Fugro employee is not appreciated .",,Aberdeen,0,0,0,0,0,0,0,0,0
 opportunity - commercial manager,Full Fibre Limited,,Telford,25000 - 30000 ,"Manage all aspects of the contract, contractual and financial aspects of our projects from estimate to agreement.Understand the valuation of construction work.","Fibre Only. Wholesale Only. Gigabit Capable.Here at Full Fibre, we are changing the way consumers and business access the digital world. We are on a mission to connect 100,000's of properties across the UK to the 21st century. With significant growth happening across our business today, we want great people to help us do great things.As a Commercial Manager, you will be playing a pivotal role in the future growth and management of the business. You will be instrumental in the future success and performance of the business and its suppliers. Reporting directly into the Head of Commercial, you'll be joining at the start of a very fast paced and exciting growth phase of the business with lots to get stuck into.We're looking for an enthusiastic graduate to train as a Commercial Manager. Once trained you will…Manage all aspects of the contract, contractual and financial aspects of our projects from estimate to agreementApply cost management support for our regional officesAssist in identifying or predicting potential risks and what mitigations are required to reduce exposureUnderstand the valuation of construction workProvide support/guidance and knowledge to others within the business in relation to building budgets to deliver worksConfidently assess and approve contractor payment applicationsDiscuss Fibre technologies, with an understanding of commercial implicationsChange management and contractor agreementThe right person will…Be a Decisive Thinker and able to analyse information quickly and use it to make robust decisions.Have excellent communication skills and be a confident negotiatorHave a good understanding of Fibre Optic Infrastructure and Network Build (desirable)Have a good commercial acumen and understanding of processes and procedures when discussing commercial issues with contractorsHave direct experience/exposure in a telecoms- based business (desirable)Analytical, solution oriented and able to deal with a fast moving environmentKnowledge, Skills & Experience: All training will be provided.BSc Quantity surveying degree would be advantageous.Experience in, or an understanding of the fibre and telecoms industry would be advantageous.A valid UK driving licence is required for the role. Job spec will be office based with a requirement for intermittent site visits. Where possible company transportation will be provided.Excellent communication skillsAbility to work under pressure in a fast-paced roleExcellent commercial and business awarenessNegotiation Skills and ability to talk to various management levelsWhat we can offer: A busy and challenging roleOpportunity for growth, development and trainingA sensible work life balance5 Paid Sick days25 Days HolidayOther BenefitsStarting salary £ 25,000 - £30,000Job Type: Full-timeSalary: £25,000.00-£30,000.00 per year",,Telford,1,0,0,0,0,10000,25000,30000,27500
 admissions selector (part-time),LSE Jobs,,London WC2A,36647 - 44140 ,Graduate Admissions Selector (part-time).This is a part-time post for 17.5 hours per week (0.5 FTE)..This is a fixed-term appointment for 12 months from…,"LSE is committed to building a diverse, equitable and truly inclusive university.*Academic Registrar’s Division (ARD): Graduate Admissions Office*Graduate Admissions Selector (part-time)Salary from £36,647 to £44,140 pa inclusive with potential to progress to £47,456 pa inclusive of London allowance (pro rata)This is a part-time post for 17.5 hours per week (0.5 FTE).This is a fixed-term appointment for 12 months from date of appointment.An exciting opportunity has arisen to join a team of eleven Graduate Admissions Selectors working closely with departmental Programme Tutors in the selection of new postgraduates for various departments within the School. You will also undertake research into selection and admissions topics to assist the School and academic departments in the development of School policy and guidance.Candidates should have a degree; experience of teaching in a quantitative, science, humanities or social science subject area at secondary school (KS5), FE or HE level is desirable. You will have knowledge and experience of curriculum development and assessment. It would be an advantage to have experience of selecting students for undergraduate or postgraduate study in an FE/HE setting.We offer an occupational pension scheme, generous annual leave and excellent training and development opportunities.Job Types: Full-time, Part-time, ContractPay: £36,647.00-£44,140.00 per year",WC2A,London,1,0,0,0,0,10000,36647,44140,40393.5
 scheme  business development,Pareto Law,3.5,Manchester,25000 - 40000 ,"Our client are looking for ambitious graduates to help enhance their presence, to generate revenue by capitalising on warm leads and increasing their book of…","Job Title: Graduate Scheme – Business DevelopmentSalary: £25k (£40k OTE)Sector: Finance/SecurityOur client are looking for ambitious graduates to help enhance their presence, to generate revenue by capitalising on warm leads and increasing their book of business with a customer-led approach.The company:Our client is a leading, innovative provider within Financial Security. Daily, they nullify risk in more than 600 million e-mails & 7 million mobile apps around the world. Clients of theirs include large global enterprises, universities and governments.Graduate Scheme – Business Development Package:A competitive basic salary of £25,000Y1 OTE of £40kFull, inclusive trainingFun, modern officesRegular socials and a welcoming, inclusive cultureIncentives and bonusesExcellent personal and professional development availablePension schemePrivate healthcareGraduate Scheme – Business Development Role:Obtain a thorough knowledge of the company and its offering in order to best educate prospective customersProactively reach out to prospects over the phone, via email and through social channels in order to schedule meetings, webinars and demonstrationsDevelop relationships through research and social selling – identifying key influencers within accounts and building rapport with themSupport customer success to ensure that clients are happy with the services they’ve secured with the companyShadow senior members of the team in order to get a handle on the entire 360 process – with a view to your progression within the businessGraduate Scheme – Business Development:Educated to degree levelPossess exceptional communication and interpersonal skills, and a great telephone mannerComfortable in a target driven environmentSelf-motivated, with a strong desire to succeedPareto Law values diversity and promotes equality. No terminology in this advert is intended to discriminate against any of the protected characteristics that fall under the Equality Act 2010. We encourage and welcome applications from all sections of society and are more than happy to discuss reasonable adjustments and/or additional arrangements as required to support your application.If you require this job specification or to apply in an alternate format, please visit the Pareto website.",,Manchester,1,0,0,0,0,10000,25000,40000,32500
 scheme: recruitment,MPL Search,,London EC4N,23000 - 40000 ,A high performance City Based recruitment firm who are looking to expand their team with competent and highly driven graduates.,"2021 Graduate scheme; Associate Consultants for Finance and Tech Recruitment Firm.A high performance City Based recruitment firm who are looking to expand their team with competent and highly driven graduates. They are a Market leading specialist with a focus purely within the Financial and Professional Services Sector.Their ethos is to encourage growth through training, skills development and investment in their trainee Graduates. With Long term Goals set to expand into the US and Asia, this represents an exciting opportunity to join a dynamic and ambitious Firm.They look to Hire 6 Graduates to start Monday 5th July 2021 Career DevelopmentOur Client is determined to focus on high level Graduate candidates, with a focus on Commercial Intelligence, Work Rate and Quality.You will find a corporate environment dedicated to Graduate development and a desire to rapidly grow your skill set and focus investment on your career growth.EarningsThe base salary offered to graduates joining the business as Associate Consultants starts at £23,000.Our Client will look to transparently reward your success and hard work. The majority of hires will look to gain promotion to Consultant within 6 months, which sees their base salaries increase to £25,000 and then onwards Senior Consultant within the first 12 months, with base salary increase to £28,000.Their Platform offers a clearly structed Equity Ownership structure, which will enable High Performers the ability to become significant shareholders, offering an extremely attractive wealth creation opportunity.PLEASE APPLY TODAY FOR IMMEDIATE CONSIDERATIONS FOR INTERVIEWS IN THE NEXT FEW WEEKS AND A JULY START DATEMPL Search recruits for Graduate roles and schemes across the Recruitment, headhunt and Executive Search space including Finance Recruitment, Legal Recruitment and Tech Recruitment.Reference ID: DA170621GRADUATESExpected start date: 05/07/2021Job Types: Full-time, Commission, PermanentSalary: £23,000.00-£40,000.00 per yearAdditional pay:Bonus schemeCommission payPerformance bonusQuarterly bonusYearly bonusBenefits:Bike to work schemeCompany eventsCompany pensionReferral programmeSick paySchedule:Monday to FridayWork remotely:No",EC4N,London,1,0,0,0,0,10000,23000,40000,31500
 project manager,Hunter Selection,4.7,Carmarthenshire,25000 - 26000 ,An award-winning electronics manufacturer in South Wales is currently looking to strengthen its research and development department with the key acquisition of…,"Graduate Project ManagerSouth West Wales18721/612£25,000An award-winning electronics manufacturer in South Wales is currently looking to strengthen its research and development department with the key acquisition of a Graduate Project Manager. The Graduate Project Manager role will consist of assisting in the planning, scheduling and execution of NPD project. The successful candidate will be joining a business that is currently going through a sustained period of growth and a great time to join the business with exciting expansion plans in place.Role & Responsibilities:Engage in new product development process throughout all stages of the products lifecycle; from design and development through to product release and also support the existing product portfolio as required.Assist in the development and execution of project plans.Ensure projects are run in accordance with the Quality Management System.To provide and ensure clear communication to/between team members.Keep track of the project schedules, delivery dates and ongoing project actions.Create and maintain Design History Files and aid with the handover of information to the regulatory department for the creation of technical files.Interact with project stake holders on a regular basis.Knowledge, Skills & Experience:Engineering qualification, ideally Mechanical or Electronic EngineeringLiteracy in basic PC based tools MS Office, Word, Excel. MS project would be preferable.Organisational skills with the ability to manage multiple tasks and prioritise accordingly.Benefits Package:A starting salary of £25,000Pension SchemeHealthcare cash planRemote workingExcellent technical progressionIf you are interested in this role or looking for something similar, please contact our Managing Consultant Sam Paynter directly at samp@hunterselection.co.uk or call them for a confidential discussion on 02920 894 909.Hunter Selection is a nationwide provider of recruitment services in ENGINEERING, MANUFACTURING, SERVICE & TECHNOLOGY. Find out more about us and search all our current vacancies at hunterselection.co.uk.Hunter Selection Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job, you accept the Privacy Policy and Disclaimers which can be found on our website.",,Carmarthenshire,1,0,0,0,0,10000,25000,26000,25500
data analyst,BGL Group,3.5,Peterborough,0,"This role sits in the Data Development team, who are responsible for the inception, development and monitoring of our data product suite.","Here at BGL Group we like to be different – we provide a range of motor, home and life insurance, and exist to make insurance simple and accessible. Our digital, technical and data capabilities are something to be proud of, and we recognise there’s still more to be done!Our Data and Pricing team provides value in showcasing the business how to monetise data and analytics, we are a team of 45 BI, Pricing and Data Science analytical professionals working with every corner of our commercial business. This role sits in the Data Development team, who are responsible for the inception, development and monitoring of our data product suite.What you will be doing:Analysis and evaluation of potential new data productsSupporting the management of our 3rd party data relationshipsWorking on the implementation of new products, following established controlsExtracting data and producing accurate MI to assess product performance and making recommendations on findingsUsing your analytical skills to develop insight, identify commercial opportunities and adding demonstratable business valueCollaborate with a diverse, wide number of stakeholdersWhat you can expect:You will join a highly skilled and ambitious team of analysts, working in a fast-paced environment who deliver value adding changeYou will be exposed to a wide range of tools and techniques, including SQL, Python, R, Earnix and PowerBIYou will have the opportunity to work on a wide variety of data products e.g. Fraud, Claims, Debt, Pricing & Digital personalisationYou will get opportunities to develop and grow your skills as an analystWho you might be:A recent graduate with strong numeracy/analytical skills looking for an opportunity to grow your vocation and careerYou like to solve problems with desire to learn now approaches and stretch analytical boundaries.You can work well in a team, collaborate and learn from othersYou can pick up new systems quickly, but not afraid to ask for helpYou have strong communication skills and the ability to clearly convey your ideas to stakeholdersEnjoy change and challenging the status quoIn your CV and throughout the application/interview process, we’d love to see details around any personal or professional projects you’ve worked on, maybe even talk to us about what analysis and insight you’ve come across that’s excited you of late. We’d love to learn more about your passion.Why Choose Us?Founded in 1992, the BGL Group has grown significantly in size and capability. From 30 to 3,000 people, we are a leading digital distributor of insurance and household financial services. BGL Group has reached 9.5 million customers through brands including comparethemarket.com, LesFurets.com, Beagle Street, Budget Insurance & Dial Direct. We make a difference for our customers, colleagues and communities by working, growing and winning together. We enjoy what we do and have fun doing it.Diversity and InclusionWe're a diverse community of dedicated, innovative and talented professionals. With an inclusive and open workplace, we encourage our people to create and share ideas – supporting their growth and celebrating their uniqueness. We're proud to be an equal opportunity employer and stand firmly against discrimination of any kind.Flexible workingWe understand the importance of achieving a healthy lifestyle balance, whether it’s working remotely or flexibly we have an environment where people are empowered to embrace flexible working in a way that works for them and for the business.Primary Location: United Kingdom-Cambridgeshire-PeterboroughWork Locations: Bretton Fusion House Bretton Way Peterborough PE3 9BGJob: Data & AnalyticsOrganisation: IDO DataSchedule: Permanent GeneralJob Type: Full-timeJob Posting: 21-6-2021, 9:42:34 AM",,Peterborough,0,0,0,0,0,0,0,0,0
 trainee valuer,Northern Ireland Civil Service,4.1,Belfast,27845,"Name Email Search: You are here: Home > Graduate Trainee Valuer Graduate Trainee Valuer Tweet REF: IRC266001 DEPARTMENT: Department of Finance (DoF), Land …","NameEmailSearch:You are here:Home >Graduate Trainee ValuerGraduate Trainee ValuerTweetREF: IRC266001DEPARTMENT: Department of Finance (DoF), Land & Property Services, Valuation Services DirectorateSALARY: £27,845 (under review)LOCATION: Throughout Northern Ireland; Ballymena, Belfast, Craigavon, Londonderry and OmaghFurther appointments may be made from this competition should NICS positions become vacant which require the same eligibility criteria and have similar duties and responsibilities.For more detailed information, including the duties and responsibilities of the post and the criteria to be used during the recruitment and selection process, please click on the Candidate Information Booklet link below.In order to apply for this position, please click on the ""Apply for this job online"" link below to register to this vacancy and to submit an online application.Completed application forms must be submitted no later than 12:00 noon (UK time) on Friday 2nd July 2021.Applications from women, Protestants, young people (people under the age of 35), people with a disability and people from minority ethnic communities are particularly welcome for this post.The Northern Ireland Civil Service is an Equal Opportunities EmployerALL APPLICATIONS FOR EMPLOYMENT ARE CONSIDERED STRICTLY ON THE BASIS OF MERITAll queries can be directed to HRConnect by:",,Belfast,1,0,0,0,0,10000,27845,27845,27845
 software/integrations consultant,Kainos,3.9,Belfast,0,"As a Graduate Workday Integrations Consultant in Kainos, you’ll work as part of a team of integration consultants on a project, supporting the successful…","Our people love the exciting and meaningful work they do, the cutting-edge resources and technology they have access to, the benefits we offer and the great community we’ve built. Want to join them?MAIN PURPOSE OF THE ROLE & RESPONSIBILITIES IN THE BUSINESS:As a Graduate Workday Integrations Consultant in Kainos, you’ll work as part of a team of integration consultants on a project, supporting the successful delivery of integration solutions for the cloud-based Workday HCM system.With the support of more senior consultants, you’ll work to capture requirements, document, implement, deploy and support integration solutions within a Workday implementation project. You will develop and share expert knowledge of the Workday product and integration platform toolset, as well as HCM / Financials business domain knowledge.You’ll build strong relationships with our customers to understand their requirements, ensuring that the integration solution is aligned to their needs, fit for purpose and commercially viable. You’ll know when to appropriately escalate issues and seek support from your more experienced team members.MINIMUM (ESSENTIAL) REQUIREMENTS:• An understanding of XML, XPath and XSLT, and knowledge of an object-oriented programming language (preferably J2EE)• Basic understanding of cloud computing, web services and associated integration challenges• Good communicator, you will be willing to assume a customer facing role, with the ability to communicate effectively with colleagues and clients• Capable of working within teams and alongside customers, as well as on yourindividual tasks with limited supervision. Able to manage your time effectively and record it accurately• Able to apply all relevant standards and procedures to your own work, maintaining high quality and accuracy at all times• Aware of the importance of confidentiality and non-disclosure policies and/oragreements and ensure security of information at all times• Able, if required, to travel to customer sites in the same region (minimal out of region travel may also be required)• Commercial understanding of utilisation within a services organisation and the importance of these targetsDESIRABLE :• Basic understanding of Human Resource, Financials, or Payroll operations and/or software integrationsWHO YOU ARE:Our vision is to enable outstanding people to create digital solutions that have a positive impact on people’s lives. Our values aren't abstract; they are the behaviours we expect from each other every day and underpin everything that we do. We expect everyone to display our values by being determined in how obstacles are overcome; honest when dealing with others; respectful of how you treat others; creative to find solutions to complex problems and cooperative by sharing information, knowledge and experience. These values, applied collectively, help to produce an outstanding Kainos person, team and culture.We're an inclusive bunch at Kainos and we believe in equal opportunity. We welcome applications from all walks of life, including those with criminal records. Everyone who is offered a position here undergoes a basic background check , however no one is treated differently due to their background where it isn't relevant to the role. It's important to note - failure to reveal information which is relevant to the position sought, could result in us having to withdraw the conditional offer of employment.In short: Having a criminal record will not exclude you from a career with Kainos. This depends entirely on the nature and requirements of the position, together with the circumstances and background of offences. Kainos has a policy on the recruitment of ex-offenders (available on request).",,Belfast,0,0,0,0,0,0,0,0,0
